screen_name,user_id,created_at,status_id,text,retweet_count,favorite_count,is_quote_status,quote_status_id,is_retweet,in_reply_to_status_status_id,in_reply_to_status_user_id,in_reply_to_status_screen_name,lang,source,media_id,media_url,media_url_expanded,urls_display,urls_expanded,mentions_screen_name,mentions_user_id,hashtags,place_id,place_type,place_name,place_full_name,country_code,country,bounding_box_coordinates,bounding_box_type
randynx,809890824,2017-06-11T08:01:35Z,873812442417045504,Happy #PrideMonth Portland! #pdx #Oregon #pride2017 https://t.co/WqswKYFVci,0,0,FALSE,NA,FALSE,NA,NA,NA,en,Twitter for iPhone,873812428122763264,http://pbs.twimg.com/media/DCBnxhKUMAAinub.jpg,https://twitter.com/randynx/status/873812442417045504/photo/1,NA,NA,NA,NA,PrideMonth pdx Oregon pride2017,NA,NA,NA,NA,NA,NA,NA,NA
SuperGisele,47487454,2017-06-11T08:00:58Z,873812285675982849,"Only colors of #pride, today!
I'm proud of people that loves!
Cause #LoveIsLove !!

#PrideMonth #PrideWeek #HappyPride #LGBTQ #LGBT #love",0,0,FALSE,NA,FALSE,NA,NA,NA,en,Twitter for Android,NA,NA,NA,NA,NA,NA,NA,pride LoveIsLove PrideMonth PrideWeek HappyPride LGBTQ LGBT love,NA,NA,NA,NA,NA,NA,NA,NA
Lolashahd,58593320,2017-06-11T08:00:33Z,873812182772834304,"@realDonaldTrump @FaithandFreedom What god do u worship, don?? U r a #Puppet - what about #PrideMonth which u promi… https://t.co/N1BoIVo092",0,0,FALSE,NA,FALSE,873245481488535554,25073877,realDonaldTrump,en,Twitter for iPhone,NA,NA,NA,twitter.com/i/web/status/8…,https://twitter.com/i/web/status/873812182772834304,realDonaldTrump FaithandFreedom,25073877 356929299,Puppet PrideMonth,NA,NA,NA,NA,NA,NA,NA,NA
klippie72,65341217,2017-06-11T07:59:52Z,873812008378003456,#loveislove #equalityforall #pridemonth 🏳️‍🌈🏳️‍🌈🏳️‍🌈 https://t.co/ZeuJ8C8axW,0,0,FALSE,NA,FALSE,NA,NA,NA,und,Facebook,NA,NA,NA,fb.me/6CBDktFw0,http://fb.me/6CBDktFw0,NA,NA,loveislove equalityforall pridemonth,NA,NA,NA,NA,NA,NA,NA,NA
this_Ivy,356825645,2017-06-11T07:58:23Z,873811636611633152,"Happy #PrideMonth 
Go forth and shine. 😘",0,0,FALSE,NA,FALSE,NA,NA,NA,en,Twitter for Android,NA,NA,NA,NA,NA,NA,NA,PrideMonth,NA,NA,NA,NA,NA,NA,NA,NA
OneMoreDramah,244659246,2017-06-11T07:58:05Z,873811563060264960,"MARK, PERCHÉ IO NON HO QUESTA REAZIONE?! Spero per te che rimanga tutto il mese. #PrideMonth  #rainbow #pride… https://t.co/RDsBg1F0PC",0,0,FALSE,NA,FALSE,NA,NA,NA,it,Twitter for iPhone,NA,NA,NA,twitter.com/i/web/status/8…,https://twitter.com/i/web/status/873811563060264960,NA,NA,PrideMonth rainbow pride,06671c677e777826,city,Bologna,"Bologna, Emilia Romagna",IT,Italy,11.2296117 11.4336997 11.4336997 11.2296117 44.4211518 44.4211518 44.5563177 44.5563177,Polygon
imlucieltrash,856449991530905600,2017-06-11T07:57:55Z,873811519175356417,"@Snitecs Io ci andrei al pride se solo avessi qualcuno con cUI ANDARCI 
Comunque il cuoricino dell' hashtag #PrideMonth è troppo carino 🌸",0,0,FALSE,NA,FALSE,873810932685819904,2799656125,Snitecs,it,Twitter for iPhone,NA,NA,NA,NA,NA,Snitecs,2799656125,PrideMonth,NA,NA,NA,NA,NA,NA,NA,NA
JAPPPPPPPY,821410669882851328,2017-06-11T07:56:00Z,873811035097923585,#PrideMonth https://t.co/vqmEYvvV0s,0,0,FALSE,NA,FALSE,NA,NA,NA,und,Twitter for iPhone,873811028210982913,http://pbs.twimg.com/media/DCBmgCFVoAEHDnb.jpg,https://twitter.com/JAPPPPPPPY/status/873811035097923585/photo/1,NA,NA,NA,NA,PrideMonth,NA,NA,NA,NA,NA,NA,NA,NA
amohnster,89038931,2017-06-11T07:55:57Z,873811024838664192,ADD A 🏳️‍🌈 TO YOUR NAME IF YOU'RE A BIG-OLE GAY #PrideMonth,0,0,FALSE,NA,FALSE,NA,NA,NA,en,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,PrideMonth,NA,NA,NA,NA,NA,NA,NA,NA
emebe_,48140561,2017-06-11T07:55:53Z,873811007856148480,¿Vieron esto? #PrideMonth,1,1,FALSE,NA,FALSE,NA,NA,NA,es,Twitter Web Client,NA,NA,NA,NA,NA,NA,NA,PrideMonth,NA,NA,NA,NA,NA,NA,NA,NA
